,pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length
173,ST,2024-04-30,79.7,1.7,5.57,"Henderson, Gunnar",683002,641482,,ball,,,,,13,Gunnar Henderson walks.,R,L,L,BAL,NYY,B,,,0,0,2024,-1.24,0.4,-1.47,2.37,,,,1,3,Bot,,,,,669224,,,-4.563372149435523,-115.9911401167242,-0.965220134386196,-10.1457508332318,24.236370884261248,-28.64714477389581,3.72,1.94,,,,78.4,2708,5.6,747047,641482,669224,519203,650402,665828,683011,592450,663757,665742,54.87,,,,,,,,22,1,Sweeper,1,1,1,1,1,1,1,1,Infield shade,Standard,305,0.0,0.025,,
174,SI,2024-04-30,90.2,3.17,4.76,"Henderson, Gunnar",683002,641482,strikeout,called_strike,,,,,7,Gunnar Henderson called out on strikes.,R,L,L,BAL,NYY,S,2.0,,0,2,2024,1.14,1.05,-0.47,1.48,,,,0,1,Bot,,,,,669224,,,-11.414935429996264,-130.78456283531904,-4.372590725763919,15.47853542534779,28.116995784819185,-19.375977828164054,3.7,1.59,,,,89.7,2175,6.2,747047,641482,669224,519203,650402,665828,683011,592450,663757,665742,54.26,,0.0,0.0,1.0,0.0,0.0,,4,3,Sinker,0,0,0,0,0,0,0,0,Infield shade,Standard,118,-0.021,-0.146,,
175,FF,2024-04-30,93.4,1.18,5.96,"Henderson, Gunnar",683002,641482,,foul_tip,,,,,4,Gunnar Henderson called out on strikes.,R,L,L,BAL,NYY,S,,,0,1,2024,0.41,1.55,-0.52,2.67,,,,0,1,Bot,,,,,669224,,,-5.230924509108967,-135.88125408358354,-6.055574725138954,6.297479058458104,31.401699889025966,-11.877692590363225,3.71,1.73,,,,92.3,2322,5.7,747047,641482,669224,519203,650402,665828,683011,592450,663757,665742,54.75,,,,,,,,4,2,4-Seam Fastball,0,0,0,0,0,0,0,0,Infield shade,Standard,158,0.0,-0.049,74.89756169576775,6.74291
176,FF,2024-04-30,92.3,0.98,6.08,"Henderson, Gunnar",683002,641482,,called_strike,,,,,8,Gunnar Henderson called out on strikes.,R,L,L,BAL,NYY,S,,,0,0,2024,0.48,1.59,0.23,2.02,,,,0,1,Bot,,,,,669224,,,-2.926357041812899,-134.29053289401696,-7.897296966978555,6.479429872017469,28.59232765719345,-11.369560303013484,3.85,1.85,,,,91.5,2271,5.8,747047,641482,669224,519203,650402,665828,683011,592450,663757,665742,54.7,,,,,,,,4,1,4-Seam Fastball,0,0,0,0,0,0,0,0,Infield shade,Standard,160,0.0,-0.035,,
177,FC,2024-04-29,92.4,-1.57,5.57,"Henderson, Gunnar",683002,657376,field_out,hit_into_play,,,,,8,Gunnar Henderson flies out to left fielder Aaron Judge.,R,L,R,BAL,NYY,X,7.0,fly_ball,1,1,2024,0.17,0.92,0.02,2.05,656775.0,681297.0,,2,5,Bot,99.91,119.12,,,669224,,,3.6476076866339535,-134.60625874875666,-5.208008935235292,1.4303597217757695,25.942027265194493,-20.12364856458518,3.72,1.74,210.0,96.1,61.0,92.4,2780,6.0,747046,657376,669224,519203,650402,665828,683011,592450,663757,665742,54.51,0.017,0.015,0.0,1.0,0.0,0.0,3.0,40,3,Cutter,1,0,1,0,0,1,1,0,Infield shade,Standard,205,-0.054,-0.539,76.4780524759901,8.27266
178,FC,2024-04-29,92.8,-1.55,5.55,"Henderson, Gunnar",683002,657376,,ball,,,,,14,Gunnar Henderson flies out to left fielder Aaron Judge.,R,L,R,BAL,NYY,B,,,0,1,2024,0.12,0.72,1.54,2.39,656775.0,681297.0,,2,5,Bot,,,,,669224,,,7.590249416592958,-135.12768326910512,-3.927733671198724,0.0395791264809944,25.60422680253829,-22.73880036474982,3.64,1.76,,,,92.9,2839,6.0,747046,657376,669224,519203,650402,665828,683011,592450,663757,665742,54.46,,,,,,,,40,2,Cutter,1,0,1,0,0,1,1,0,Infield shade,Standard,199,0.0,0.112,,
179,ST,2024-04-29,86.0,-2.02,5.42,"Henderson, Gunnar",683002,657376,,called_strike,,,,,5,Gunnar Henderson flies out to left fielder Aaron Judge.,R,L,R,BAL,NYY,S,,,0,0,2024,1.1,0.4,-0.22,2.65,656775.0,681297.0,,2,5,Bot,,,,,669224,,,2.027478870272357,-125.36211257779456,-1.188727817317734,11.26572586720821,23.372315362394232,-27.8892677040812,3.69,1.71,,,,85.8,3158,5.9,747046,657376,669224,519203,650402,665828,683011,592450,663757,665742,54.62,,,,,,,,40,1,Sweeper,1,0,1,0,0,1,1,0,Infield shade,Standard,92,0.0,-0.146,,
180,FC,2024-04-29,91.5,-1.63,5.63,"Henderson, Gunnar",683002,657376,strikeout,called_strike,,,,,7,Gunnar Henderson called out on strikes.,R,L,R,BAL,NYY,S,2.0,,1,2,2024,0.04,0.65,-0.61,2.34,,,,1,3,Bot,,,,,669224,,,2.466709496531813,-133.36665254276863,-3.933968593275356,0.0469764466857361,23.89065448019532,-23.74894877577566,3.78,1.8,,,,91.6,2781,5.9,747046,657376,669224,519203,650402,665828,683011,592450,663757,665742,54.59,,0.0,0.0,1.0,0.0,0.0,,23,4,Cutter,1,0,1,0,0,1,1,0,Infield shade,Standard,196,-0.015,-0.118,,
181,FC,2024-04-29,91.6,-1.38,5.56,"Henderson, Gunnar",683002,657376,,foul,,,,,5,Gunnar Henderson called out on strikes.,R,L,R,BAL,NYY,S,,,1,1,2024,0.35,0.78,-0.05,2.97,,,,1,3,Bot,,,,,669224,,,2.5873223447048725,-133.43632007300127,-2.3813074268094465,3.700803157639366,27.32445776492864,-22.562153833133703,3.72,1.74,269.0,87.1,47.0,91.5,2681,6.1,747046,657376,669224,519203,650402,665828,683011,592450,663757,665742,54.45,,,,,,,,23,3,Cutter,1,0,1,0,0,1,1,0,Infield shade,Standard,197,0.0,-0.04,84.04345397318603,6.97256
182,SI,2024-04-29,94.6,-1.49,5.74,"Henderson, Gunnar",683002,657376,,ball,,,,,13,Gunnar Henderson called out on strikes.,R,L,R,BAL,NYY,B,,,0,1,2024,-0.54,0.58,-1.97,2.67,,,,1,3,Bot,,,,,669224,,,-0.0551347802808022,-137.8432733216747,-3.6399397452406737,-6.926998917068698,29.64815541949495,-24.165763932487785,3.87,1.85,,,,94.4,2643,6.0,747046,657376,669224,519203,650402,665828,683011,592450,663757,665742,54.5,,,,,,,,23,2,Sinker,1,0,1,0,0,1,1,0,Infield shade,Standard,203,0.0,0.023,,
183,KC,2024-04-29,83.9,-1.17,5.85,"Henderson, Gunnar",683002,657376,,foul,,,,,14,Gunnar Henderson called out on strikes.,R,L,R,BAL,NYY,S,,,0,0,2024,1.37,-0.63,1.27,1.9,,,,1,3,Bot,,,,,669224,,,2.914084460217545,-122.1563858856482,-1.3883956012096488,12.857288955797516,27.712256247364827,-38.3666652969368,3.72,1.74,3.0,35.4,-34.0,82.8,3032,5.9,747046,657376,669224,519203,650402,665828,683011,592450,663757,665742,54.65,,,,,,,,23,1,Knuckle Curve,1,0,1,0,0,1,1,0,Infield shade,Standard,43,0.0,-0.023,73.98007248173984,8.27965
184,KC,2024-04-29,83.8,-1.32,5.75,"Henderson, Gunnar",683002,657376,home_run,hit_into_play,,,,,9,Gunnar Henderson homers (10) on a fly ball to right field.,R,L,R,BAL,NYY,X,,fly_ball,2,2,2024,1.58,-0.42,0.5,2.11,,,,0,1,Bot,234.58,72.16,,,669224,,,1.0722835992225872,-122.04951359758442,-1.1270499101557063,15.458070899682555,26.864321942792184,-36.28051804854977,3.72,1.74,410.0,112.3,22.0,83.1,3037,6.0,747046,657376,669224,519203,650402,665828,683011,592450,663757,665742,54.47,0.991,1.934,2.0,1.0,0.0,3.0,6.0,5,7,Knuckle Curve,0,0,0,0,0,1,1,0,Infield shade,Standard,47,0.102,1.024,78.44617517536922,7.56308
185,KC,2024-04-29,83.5,-1.34,5.88,"Henderson, Gunnar",683002,657376,,foul,,,,,7,Gunnar Henderson homers (10) on a fly ball to right field.,R,L,R,BAL,NYY,S,,,2,2,2024,1.65,-0.48,-0.43,2.23,,,,0,1,Bot,,,,,669224,,,-1.1478735633642918,-121.56379843155426,-0.9457285334947426,16.471709187847075,27.679077625656884,-36.876644566642895,3.72,1.74,3.0,79.1,-39.0,82.5,3041,6.0,747046,657376,669224,519203,650402,665828,683011,592450,663757,665742,54.52,,,,,,,,5,6,Knuckle Curve,0,0,0,0,0,0,0,0,Infield shade,Standard,52,0.0,0.0,74.2716057864868,8.07109
186,SI,2024-04-29,94.3,2.35,5.62,"Henderson, Gunnar",683002,657571,hit_by_pitch,hit_by_pitch,,,,,12,Gunnar Henderson hit by pitch.,R,L,L,BAL,NYY,B,,,0,0,2024,1.26,1.08,1.78,3.73,,,,1,8,Bot,,,,,669224,,,-4.320150459599835,-137.2417130647557,-1.6061222108976605,16.892519037715616,30.38649975166528,-18.43820744164464,3.72,1.74,,,,94.7,2040,6.5,747046,657571,669224,519203,650402,665828,683011,592450,663757,665742,53.99,,0.728052,0.7,1.0,0.0,0.0,,61,1,Sinker,1,0,1,0,0,1,1,0,Infield shade,Standard,135,0.014,0.261,,
187,KC,2024-04-29,83.6,-1.21,5.85,"Henderson, Gunnar",683002,657376,,foul,,,,,4,Gunnar Henderson homers (10) on a fly ball to right field.,R,L,R,BAL,NYY,S,,,2,2,2024,1.34,-0.94,-0.67,2.62,,,,0,1,Bot,,,,,669224,,,-1.3782220463204606,-121.72581402032668,0.8446912890225782,13.594001925081873,25.459456336630137,-41.851376289313215,3.72,1.74,248.0,82.4,44.0,82.8,3101,5.8,747046,657376,669224,519203,650402,665828,683011,592450,663757,665742,54.66,,,,,,,,5,5,Knuckle Curve,0,0,0,0,0,0,0,0,Infield shade,Standard,47,0.0,0.0,70.613920276498,6.65153
188,SI,2024-04-29,94.3,-1.56,5.81,"Henderson, Gunnar",683002,657376,,foul,,,,,4,Gunnar Henderson homers (10) on a fly ball to right field.,R,L,R,BAL,NYY,S,,,2,1,2024,-0.63,0.51,-0.74,2.46,,,,0,1,Bot,,,,,669224,,,3.513447700325372,-137.25299590990454,-4.119853679790125,-8.773924635013481,31.072772708016075,-25.028165948607413,3.72,1.74,171.0,78.3,16.0,93.7,2550,5.9,747046,657376,669224,519203,650402,665828,683011,592450,663757,665742,54.55,,,,,,,,5,4,Sinker,0,0,0,0,0,0,0,0,Infield shade,Standard,209,0.0,-0.068,76.93181149744981,7.23151
189,FC,2024-04-29,92.4,-1.42,5.7,"Henderson, Gunnar",683002,657376,,swinging_strike,,,,,5,Gunnar Henderson homers (10) on a fly ball to right field.,R,L,R,BAL,NYY,S,,,2,0,2024,0.24,0.68,-0.19,3.1,,,,0,1,Bot,,,,,669224,,,2.596316053339562,-134.6051177510956,-2.305143564493798,2.3382501087316365,28.36351321780055,-23.592569535362053,3.72,1.74,,,,91.8,2641,5.8,747046,657376,669224,519203,650402,665828,683011,592450,663757,665742,54.7,,,,,,,,5,3,Cutter,0,0,0,0,0,0,0,0,Infield shade,Standard,201,0.0,-0.064,79.72803186326388,6.42982
190,SI,2024-04-29,94.1,-1.5,5.74,"Henderson, Gunnar",683002,657376,,ball,,,,,13,Gunnar Henderson homers (10) on a fly ball to right field.,R,L,R,BAL,NYY,B,,,1,0,2024,-0.72,0.58,-1.54,2.2,,,,0,1,Bot,,,,,669224,,,1.4753147872189811,-136.9461441808535,-4.72710123850793,-9.3930858526768,31.296616205838543,-24.00926395008508,3.81,1.74,,,,93.5,2511,6.0,747046,657376,669224,519203,650402,665828,683011,592450,663757,665742,54.52,,,,,,,,5,2,Sinker,0,0,0,0,0,0,0,0,Infield shade,Standard,214,0.0,0.07,,
191,SI,2024-04-29,94.9,-1.62,5.81,"Henderson, Gunnar",683002,657376,,ball,,,,,13,Gunnar Henderson homers (10) on a fly ball to right field.,R,L,R,BAL,NYY,B,,,0,0,2024,-0.78,0.57,-1.1,1.41,,,,0,1,Bot,,,,,669224,,,3.0916134010036607,-137.94323233315473,-7.000520737399553,-10.605671206742308,33.74386555462788,-23.497478160053475,3.75,1.74,,,,93.8,2532,5.9,747046,657376,669224,519203,650402,665828,683011,592450,663757,665742,54.58,,,,,,,,5,1,Sinker,0,0,0,0,0,0,0,0,Infield shade,Standard,215,0.0,0.037,,
192,CH,2024-04-28,84.2,-2.09,6.11,"Henderson, Gunnar",683002,621112,force_out,hit_into_play,,,,,13,"Gunnar Henderson grounds into a force out, second baseman Max Schuemann to shortstop Darell Hernaiz.   Jorge Mateo out at 2nd.    Gunnar Henderson to 1st.",R,L,R,BAL,OAK,X,4.0,ground_ball,2,1,2024,-0.86,0.47,-0.52,1.43,,,622761.0,1,4,Bot,154.82,158.02,,,668832,,,5.347882488462228,-122.47072003629252,-5.4153882812038585,-9.675774783556651,24.89473344478259,-26.557884909988218,3.72,1.75,33.0,78.1,0.0,84.2,1803,6.4,747045,621112,668832,676116,680474,663527,687231,664913,668709,671732,54.09,0.137,0.147,0.0,1.0,0.0,0.0,2.0,39,4,Changeup,6,4,6,4,4,6,6,4,Standard,Standard,203,-0.019,-0.386,75.81424800590666,7.90906
193,CH,2024-04-28,84.9,-2.11,6.05,"Henderson, Gunnar",683002,621112,,foul,,,,,8,"Gunnar Henderson grounds into a force out, second baseman Max Schuemann to shortstop Darell Hernaiz.   Jorge Mateo out at 2nd.    Gunnar Henderson to 1st.",R,L,R,BAL,OAK,S,,,2,0,2024,-1.05,0.04,-0.23,1.86,,,622761.0,1,4,Bot,,,,,668832,,,6.502301001494944,-123.50913134940986,-3.5650885875166867,-12.073725775339229,25.214081768912045,-31.20648872180153,3.72,1.75,,,,84.9,1821,6.3,747045,621112,668832,676116,680474,663527,687231,664913,668709,671732,54.16,,,,,,,,39,3,Changeup,6,4,6,4,4,6,6,4,Infield shade,Standard,214,0.0,-0.086,77.33934498302892,8.11688
194,FF,2024-04-28,90.8,-2.14,6.0,"Henderson, Gunnar",683002,621112,,ball,,,,,11,"Gunnar Henderson grounds into a force out, second baseman Max Schuemann to shortstop Darell Hernaiz.   Jorge Mateo out at 2nd.    Gunnar Henderson to 1st.",R,L,R,BAL,OAK,B,,,1,0,2024,-0.61,1.33,-2.51,4.57,,,622761.0,1,4,Bot,,,,,668832,,,0.3611661689965286,-132.17765391072223,-0.4550783695964219,-7.170121042753986,30.66339757162619,-16.826448307141334,3.71,1.71,,,,90.4,2125,6.3,747045,621112,668832,676116,680474,663527,687231,664913,668709,671732,54.25,,,,,,,,39,2,4-Seam Fastball,6,4,6,4,4,6,6,4,Standard,Standard,205,0.0,0.077,,
195,FF,2024-04-28,92.2,-1.98,5.99,"Henderson, Gunnar",683002,621112,,ball,,,,,11,"Gunnar Henderson grounds into a force out, second baseman Max Schuemann to shortstop Darell Hernaiz.   Jorge Mateo out at 2nd.    Gunnar Henderson to 1st.",R,L,R,BAL,OAK,B,,,0,0,2024,-0.64,1.4,-0.56,4.15,,,622761.0,1,4,Bot,,,,,668832,,,5.008832926612384,-134.19322799719836,-1.8339027740412612,-8.797316449287498,31.090242053165827,-15.197344660036917,3.71,1.68,,,,92.0,2211,6.3,747045,621112,668832,676116,680474,663527,687231,664913,668709,671732,54.18,,,,,,,,39,1,4-Seam Fastball,6,4,6,4,4,6,6,4,Standard,Standard,193,0.0,0.042,,
196,FF,2024-04-28,92.2,-2.0,6.07,"Henderson, Gunnar",683002,621112,strikeout,called_strike,,,,,13,Gunnar Henderson called out on strikes.,R,L,R,BAL,OAK,S,2.0,,2,2,2024,-0.6,1.22,-0.96,2.04,,,,0,3,Bot,,,,,668832,,,3.9597968298772703,-134.15912944669196,-7.050042556911741,-8.155612014202712,29.016394721342422,-16.06580180924799,3.62,1.68,,,,92.2,2225,6.3,747045,621112,668832,676116,680474,663527,687231,664913,668709,671732,54.24,,0.0,0.0,1.0,0.0,0.0,,25,5,4-Seam Fastball,2,4,2,4,4,2,2,4,Infield shade,Standard,204,-0.026,-0.207,,
197,CU,2024-04-28,81.5,-2.09,5.99,"Henderson, Gunnar",683002,621112,,ball,,,,,14,Gunnar Henderson called out on strikes.,R,L,R,BAL,OAK,B,,,1,2,2024,0.87,-1.4,1.13,0.43,,,,0,3,Bot,,,,,668832,,,5.567615225076222,-118.42607652193249,-3.052694013942654,6.728808475279805,27.571483788298764,-44.63899214398527,3.72,1.75,,,,80.7,2705,6.3,747045,621112,668832,676116,680474,663527,687231,664913,668709,671732,54.17,,,,,,,,25,4,Curveball,2,4,2,4,4,2,2,4,Infield shade,Standard,29,0.0,0.04,,
198,SL,2024-04-28,82.1,-2.32,5.93,"Henderson, Gunnar",683002,621112,,ball,,,,,14,Gunnar Henderson called out on strikes.,R,L,R,BAL,OAK,B,,,0,2,2024,1.24,-0.81,0.96,0.18,,,,0,3,Bot,,,,,668832,,,5.00871742135687,-119.24632118433108,-4.71937072362269,10.435113741268594,28.15140996897639,-38.88057962663842,3.74,1.73,,,,81.2,2815,6.3,747045,621112,668832,676116,680474,663527,687231,664913,668709,671732,54.18,,,,,,,,25,3,Slider,2,4,2,4,4,2,2,4,Infield shade,Standard,39,0.0,0.02,,
199,FC,2024-04-28,89.6,-2.1,6.06,"Henderson, Gunnar",683002,621112,,foul,,,,,5,Gunnar Henderson called out on strikes.,R,L,R,BAL,OAK,S,,,0,1,2024,0.54,0.75,0.13,3.03,,,,0,3,Bot,,,,,668832,,,4.343924812585674,-130.43043859293525,-3.099362609610829,5.350598861242601,26.560618279439858,-23.15205643116972,3.72,1.75,170.0,64.5,54.0,89.5,2379,6.1,747045,621112,668832,676116,680474,663527,687231,664913,668709,671732,54.35,,,,,,,,25,2,Cutter,2,4,2,4,4,2,2,4,Standard,Standard,177,0.0,-0.049,72.11872509691855,6.211
200,FF,2024-04-28,91.5,-1.99,6.11,"Henderson, Gunnar",683002,621112,,called_strike,,,,,11,Gunnar Henderson called out on strikes.,R,L,R,BAL,OAK,S,,,0,0,2024,-0.41,1.64,-0.95,3.08,,,,0,3,Bot,,,,,668832,,,3.4917532003405327,-133.1268555030135,-5.290470859387876,-5.6051843418758684,29.05573822303665,-11.786963529207604,3.65,1.71,,,,91.2,2198,6.2,747045,621112,668832,676116,680474,663527,687231,664913,668709,671732,54.32,,,,,,,,25,1,4-Seam Fastball,2,4,2,4,4,2,2,4,Standard,Standard,205,0.0,-0.035,,
201,FF,2024-04-28,91.6,1.18,6.69,"Henderson, Gunnar",683002,666205,field_out,hit_into_play,,,,,6,Gunnar Henderson pops out to shortstop Darell Hernaiz.,R,L,L,BAL,OAK,X,6.0,popup,0,0,2024,0.13,1.26,0.37,2.61,,,622761.0,2,6,Bot,86.29,152.42,,,668832,,,-2.3477691231205102,-133.32596606849427,-7.207492285902127,2.103236390842137,29.20127787239046,-15.800794497496442,3.72,1.75,147.0,91.7,68.0,92.2,2235,6.7,747045,666205,668832,676116,680474,663527,687231,664913,668709,671732,53.81,0.011,0.014,0.0,1.0,0.0,0.0,3.0,54,1,4-Seam Fastball,6,4,6,4,4,6,6,4,Standard,Standard,155,-0.014,-0.216,76.31777119917533,7.34143
202,CH,2024-04-28,92.7,-2.34,5.85,"Henderson, Gunnar",683002,668674,field_out,hit_into_play,,,,,13,Gunnar Henderson lines out to left fielder Seth Brown.,R,L,R,BAL,OAK,X,7.0,line_drive,1,2,2024,-1.48,0.51,-0.99,2.69,,,,1,9,Bot,66.11,94.94,,,668832,,,6.759337138237182,-134.75217087398983,-3.3494622494971864,-19.537766306210283,32.11216640194911,-25.416128277976025,3.72,1.75,298.0,96.2,16.0,93.0,1992,6.7,747045,668674,668832,676116,687231,663527,669397,664913,665923,671732,53.76,0.669,0.654,0.0,1.0,0.0,0.0,4.0,76,5,Changeup,6,7,6,7,7,6,6,7,Infield shade,Standard,239,-0.064,-0.118,,
203,FF,2024-04-28,99.5,-2.24,5.91,"Henderson, Gunnar",683002,668674,,foul,,,,,1,Gunnar Henderson lines out to left fielder Seth Brown.,R,L,R,BAL,OAK,S,,,1,2,2024,-1.11,1.23,-0.66,3.24,,,,1,9,Bot,,,,,668832,,,6.955247866786412,-144.47622808076565,-4.693185544305722,-17.275714295489635,41.87720886828271,-14.173758899529702,3.72,1.75,349.0,105.2,22.0,98.8,2199,6.6,747045,668674,668832,676116,687231,663527,669397,664913,665923,671732,53.91,,,,,,,,76,4,4-Seam Fastball,6,7,6,7,7,6,6,7,Infield shade,Standard,223,0.0,0.0,57.61796919734338,6.41091
204,SI,2024-04-28,99.5,-2.31,5.94,"Henderson, Gunnar",683002,668674,,ball,,,,,11,Gunnar Henderson lines out to left fielder Seth Brown.,R,L,R,BAL,OAK,B,,,0,2,2024,-1.21,1.17,-0.16,4.34,,,,1,9,Bot,,,,,668832,,,8.789587438758929,-144.4926787213038,-1.6062064362972812,-19.17211345255699,42.44393337821795,-15.857451367174082,3.64,1.58,,,,98.8,2304,6.6,747045,668674,668832,676116,687231,663527,669397,664913,665923,671732,53.86,,,,,,,,76,3,Sinker,6,7,6,7,7,6,6,7,Infield shade,Standard,220,0.0,0.016,,
205,FF,2024-04-28,100.1,-2.3,6.0,"Henderson, Gunnar",683002,668674,,swinging_strike,,,,,3,Gunnar Henderson lines out to left fielder Seth Brown.,R,L,R,BAL,OAK,S,,,0,1,2024,-1.05,1.41,0.35,3.2,,,,1,9,Bot,,,,,668832,,,9.850157654279572,-145.26877910338376,-5.587154715086459,-17.441669646079045,39.81008716798062,-11.093592243877508,3.72,1.75,,,,99.6,2246,6.6,747045,668674,668832,676116,687231,663527,669397,664913,665923,671732,53.93,,,,,,,,76,2,4-Seam Fastball,6,7,6,7,7,6,6,7,Strategic,Standard,220,0.0,-0.034,72.61985284909125,5.81447
206,CH,2024-04-28,92.3,-2.43,5.78,"Henderson, Gunnar",683002,668674,,called_strike,,,,,7,Gunnar Henderson lines out to left fielder Seth Brown.,R,L,R,BAL,OAK,S,,,0,0,2024,-1.61,0.7,-0.43,1.48,,,,1,9,Bot,,,,,668832,,,8.643181152331953,-133.902489981728,-6.612237819330504,-21.258962768385786,31.977106718647367,-22.379628080799005,3.65,1.59,,,,92.4,2076,6.7,747045,668674,668832,676116,687231,663527,669397,664913,665923,671732,53.75,,,,,,,,76,1,Changeup,6,7,6,7,7,6,6,7,Standard,Standard,244,0.0,-0.023,,
207,FF,2024-04-28,92.8,-2.14,6.15,"Henderson, Gunnar",683002,621112,field_out,hit_into_play,,,,,8,Gunnar Henderson flies out to center fielder JJ Bleday.,R,L,R,BAL,OAK,X,8.0,fly_ball,2,0,2024,-0.21,1.55,0.14,2.22,,,,0,1,Bot,95.67,67.3,,,668832,,,6.265216663256546,-134.80106540957823,-7.587745576831461,-3.954404313337024,30.062227115599423,-11.848247214213542,3.72,1.75,334.0,97.7,39.0,92.5,2267,6.2,747045,621112,668832,676116,680474,663527,687231,664913,668709,671732,54.25,0.134,0.269,0.0,1.0,0.0,0.0,3.0,4,3,4-Seam Fastball,0,0,0,0,0,0,0,0,Infield shade,Standard,205,-0.021,-0.338,79.45053789037354,7.54812
208,FF,2024-04-28,93.4,-2.06,6.15,"Henderson, Gunnar",683002,621112,,ball,,,,,14,Gunnar Henderson flies out to center fielder JJ Bleday.,R,L,R,BAL,OAK,B,,,1,0,2024,-0.18,1.52,0.34,0.84,,,,0,1,Bot,,,,,668832,,,6.547095524674935,-135.60410454198848,-11.22785425326826,-3.645884357080668,28.299356607418105,-11.126317436717988,3.8,1.74,,,,93.1,2225,6.1,747045,621112,668832,676116,680474,663527,687231,664913,668709,671732,54.38,,,,,,,,4,2,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,204,0.0,0.07,,
209,FF,2024-04-28,93.1,-2.21,6.2,"Henderson, Gunnar",683002,621112,,ball,,,,,13,Gunnar Henderson flies out to center fielder JJ Bleday.,R,L,R,BAL,OAK,B,,,0,0,2024,-0.57,1.43,-0.96,1.59,,,,0,1,Bot,,,,,668832,,,4.449365856218321,-135.33802617755046,-9.134987108345872,-8.000702006988403,30.0619569300232,-12.768964375982245,3.79,1.73,,,,92.7,2150,6.2,747045,621112,668832,676116,680474,663527,687231,664913,668709,671732,54.34,,,,,,,,4,1,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,206,0.0,0.037,,
210,ST,2024-04-27,78.7,1.66,4.3,"Henderson, Gunnar",683002,676664,home_run,hit_into_play,,,,,5,Gunnar Henderson homers (9) on a fly ball to right field.    Jorge Mateo scores.,R,L,L,BAL,OAK,X,,fly_ball,2,2,2024,-0.8,0.63,0.12,2.67,,622761.0,,1,7,Bot,232.39,90.19,,,669127,,,-1.8604698302426577,-114.46514225711594,2.229821732712331,-6.5187205081484185,24.4221549436416,-27.39225689129403,3.71,1.75,367.0,97.2,35.0,78.5,2512,6.5,747052,676664,669127,647351,680474,687231,669397,665923,668709,663527,54.0,0.157,0.3,2.0,1.0,0.0,3.0,3.0,52,8,Sweeper,5,0,5,0,0,7,7,0,Standard,Standard,272,0.008,1.604,78.80292035604403,7.64994
211,ST,2024-04-27,78.2,1.57,4.22,"Henderson, Gunnar",683002,676664,,ball,,,,,13,Gunnar Henderson homers (9) on a fly ball to right field.    Jorge Mateo scores.,R,L,L,BAL,OAK,B,,,1,2,2024,-0.97,0.52,-2.08,1.2,,622761.0,,1,7,Bot,,,,,669127,,,-6.100514651956289,-113.68539510913352,-0.4455210448555402,-6.951190794288529,25.127653682198183,-27.920474399606555,3.75,1.79,,,,77.8,2472,6.5,747052,676664,669127,647351,680474,687231,669397,665923,668709,663527,53.96,,,,,,,,52,7,Sweeper,5,0,5,0,0,5,5,0,Standard,Standard,287,0.0,0.004,,
212,FF,2024-04-27,90.9,1.33,4.77,"Henderson, Gunnar",683002,676664,,foul,,,,,6,Gunnar Henderson homers (9) on a fly ball to right field.    Jorge Mateo scores.,R,L,L,BAL,OAK,S,,,1,2,2024,1.13,1.25,0.41,2.44,,622761.0,,1,7,Bot,,,,,669127,,,-4.734776356007113,-132.1859540210579,-2.551322799693833,14.209334902811198,31.000039084287337,-17.23805867804048,3.71,1.75,156.0,71.0,62.0,90.8,2040,6.5,747052,676664,669127,647351,680474,687231,669397,665923,668709,663527,54.01,,,,,,,,52,6,4-Seam Fastball,5,0,5,0,0,5,5,0,Standard,Standard,131,0.0,0.0,76.03842844347334,7.12734
